chunk_id,pmid,title,year,query_tag,chunk_text,chunk_idx
32813597_c0,32813597,Effects of Foot Strike Techniques on Running Biomechanics: A Systematic Review and Meta-analysis.,2021,foot_strike,"Distance running is one of the most popular physical activities, and running-related injuries (RRIs) are also common. Foot strike patterns have been suggested to affect biomechanical variables related to RRI risks.",0
26304644_c0,26304644,Biomechanical Differences of Foot-Strike Patterns During Running: A Systematic Review With Meta-analysis.,2015,foot_strike,Systematic review with meta-analysis.,0
37935052_c0,37935052,Biomechanics and Injury Prevention for Barefoot/Minimalist Running.,2023,foot_strike,"» Biomechanical studies indicate that barefoot/minimalist running coincides with a transition to an anterior foot strike, lower vertical loading rates, higher cadences, less energy absorption at the knee joint, and higher energy absorption at the ankle joint.» The clinical outcome studies indicate improvement of previous injuries and equivocal injury rates in the barefoot/minimal-style running groups.» Foot strike pattern is more important than footwear regarding injury prevention and vertical loading rate.» Minimalist footwear places higher degrees of stress on the ankle joints and an increased injury rate when abruptly transitioning to barefoot running. Runners must weigh the risks and benefits and take caution to properly strengthen their feet and safely transition to minimalist running.",0
22965347_c0,22965347,Barefoot running: biomechanics and implications for running injuries.,2012,foot_strike,"Despite the technological developments in modern running footwear, up to 79% of runners today get injured in a given year. As we evolved barefoot, examining this mode of running is insightful. Barefoot running encourages a forefoot strike pattern that is associated with a reduction in impact loading and stride length. Studies have shown a reduction in injuries to shod forefoot strikers as compared with rearfoot strikers. In addition to a forefoot strike pattern, barefoot running also affords the runner increased sensory feedback from the foot-ground contact, as well as increased energy storage in the arch. Minimal footwear is being used to mimic barefoot running, but it is not clear whether it truly does. The purpose of this article is to review current and past research on shod and barefoot/minimal footwear running and their implications for running injuries. Clearly more research is needed, and areas for future study are suggested.",0
31823338_c0,31823338,"What are the Benefits and Risks Associated with Changing Foot Strike Pattern During Running? A Systematic Review and Meta-analysis of Injury, Running Economy, and Biomechanics.",2020,foot_strike,"Running participation continues to increase. The ideal strike pattern during running is a controversial topic. Many coaches and therapists promote non-rearfoot strike (NRFS) running with a belief that it can treat and prevent injury, and improve running economy.",0
27501719_c0,27501719,Biomechanics and Physiology of Uphill and Downhill Running.,2017,foot_strike,"Most running studies have considered level running (LR), yet the regulation of locomotor behaviour during uphill (UR) and downhill (DR) running is fundamental to increase our understanding of human locomotion. The purpose of this article was to review the existing literature regarding biomechanical, neuromuscular and physiological adaptations during graded running. Relative to LR, UR is characterized by a higher step frequency, increased internal mechanical work, shorter swing/aerial phase duration, and greater duty factor, while DR is characterized by increased aerial time, reduced step frequency and decreased duty factor. Grade also modifies foot strike patterns, with a progressive adoption of a mid- to fore-foot strike pattern during UR, and rear-foot strike patterns during DR. In UR, lower limb muscles perform a higher net mechanical work compared to LR and DR to increase the body's potential energy. In DR, energy dissipation is generally prevalent compared to energy generation. The increased demands for",0
27501719_c1,27501719,Biomechanics and Physiology of Uphill and Downhill Running.,2017,foot_strike,"higher net mechanical work compared to LR and DR to increase the body's potential energy. In DR, energy dissipation is generally prevalent compared to energy generation. The increased demands for work as running incline increases are met by an increase in power output at all joints, particularly the hip. This implies that UR requires greater muscular activity compared to LR and DR. Energy cost of running (C",1
20111000_c0,20111000,Foot strike patterns and collision forces in habitually barefoot versus shod runners.,2010,foot_strike,"Humans have engaged in endurance running for millions of years, but the modern running shoe was not invented until the 1970s. For most of human evolutionary history, runners were either barefoot or wore minimal footwear such as sandals or moccasins with smaller heels and little cushioning relative to modern running shoes. We wondered how runners coped with the impact caused by the foot colliding with the ground before the invention of the modern shoe. Here we show that habitually barefoot endurance runners often land on the fore-foot (fore-foot strike) before bringing down the heel, but they sometimes land with a flat foot (mid-foot strike) or, less often, on the heel (rear-foot strike). In contrast, habitually shod runners mostly rear-foot strike, facilitated by the elevated and cushioned heel of the modern running shoe. Kinematic and kinetic analyses show that even on hard surfaces, barefoot runners who fore-foot strike generate smaller collision",0
20111000_c1,20111000,Foot strike patterns and collision forces in habitually barefoot versus shod runners.,2010,foot_strike,"facilitated by the elevated and cushioned heel of the modern running shoe. Kinematic and kinetic analyses show that even on hard surfaces, barefoot runners who fore-foot strike generate smaller collision forces than shod rear-foot strikers. This difference results primarily from a more plantarflexed foot at landing and more ankle compliance during impact, decreasing the effective mass of the body that collides with the ground. Fore-foot- and mid-foot-strike gaits were probably more common when humans ran barefoot or in minimal shoes, and may protect the feet and lower limbs from some of the impact-related injuries now experienced by a high percentage of runners.",1
39722742_c0,39722742,Accuracy of self-reported foot strike pattern detection among endurance runners.,2024,foot_strike,"Foot strike pattern is often associated with running related injury and the focus of training and rehabilitation for athletes. The ability to modify foot strike pattern depends on awareness of foot strike pattern before being able to attempt change the pattern. Accurate foot strike pattern detection may help prevent running related injury (RRI) and facilitate gait modifications and shoe transitions. The purposes of this study were to determine the accuracy of self-reported foot strike pattern among endurance runners, to identify what factors were predictive of accurate foot strike detection and recent RRI.",0
32825222_c0,32825222,Will the Foot Strike Pattern Change at Different Running Speeds with or without Wearing Shoes?,2020,foot_strike,"Runners strike their feet with three different patterns during running: forefoot, midfoot, and rearfoot. This study aimed to investigate whether runners maintain consistent patterns while running speed and foot condition change. The foot strike patterns of runners when running on a treadmill at paces ranging from slow to fast were recorded from twenty healthy male regular runners, with and without shoes, in random order. A high-speed camera was used to observe the strike patterns, which were then categorized by an experienced physical therapist. Linear-log and Pearson chi-square analysis with a significance level of α = 0.05 was performed to examine the correlation between foot strike pattern, running speed, and shoe conditions. The results suggest that runners strike with different patterns when running with and without shoes (χ",0
27593384_c0,27593384,"Relationship between foot strike pattern, running speed, and footwear condition in recreational distance runners.",2017,foot_strike,"Compared to competitive runners, recreational runners appear to be more prone to injuries, which have been associated with foot strike patterns. Surprisingly, only few studies had examined the foot strike patterns outside laboratories. Therefore, this study compared the foot strike patterns in recreational runners at outdoor tracks with previously reported data. We also investigated the relationship between foot strike pattern, speed, and footwear in this cohort. Among 434 recreational runners analysed, 89.6% of them landed with rearfoot strike (RFS). Only 6.9 and 3.5% landed with midfoot and forefoot, respectively. A significant shift towards non-RFS was observed in our cohort, when compared with previously reported data. When speed increased by 1 m/s, the odds of having forefoot strike and midfoot strike relative to RFS increased by 2.3 times and 2.6 times, respectively. Runners were 9.2 times more likely to run with a forefoot strike in minimalists compared to regular running shoes,",0
27593384_c1,27593384,"Relationship between foot strike pattern, running speed, and footwear condition in recreational distance runners.",2017,foot_strike,"relative to RFS increased by 2.3 times and 2.6 times, respectively. Runners were 9.2 times more likely to run with a forefoot strike in minimalists compared to regular running shoes, although 70% of runners in minimalists continued to use a RFS. These findings suggest that foot strike pattern may differ across running conditions and runners should consider these factors in order to mitigate potential injury.",1
35498531_c0,35498531,The Coupling of Stride Length and Foot Strike in Running.,2022,foot_strike,"Modifying stride length and/or foot strike in running results in mechanical alterations associated with injury risk. Stride length and foot strike have often been treated as independent factors that affect running mechanics, but there is evidence to suggest that they may be coupled. The purpose of this study was to determine if foot strike and stride length are coupled in running, and if so, can these variables be independently manipulated? Additionally, we sought to determine how independently and simultaneously manipulating stride length and foot strike influenced running kinematics and kinetics. Fifteen individuals ran over ground with stride lengths +/- 10 % of their preferred stride length while adopting both a fore/mid foot strike and rear foot strike pattern, as well as running with their self-selected stride length and foot strike when the opposite variable was controlled. Three-dimensional motion capture and force plate data were captured synchronously during the manipulated stride",0
35498531_c1,35498531,The Coupling of Stride Length and Foot Strike in Running.,2022,foot_strike,"as running with their self-selected stride length and foot strike when the opposite variable was controlled. Three-dimensional motion capture and force plate data were captured synchronously during the manipulated stride length x foot strike trials. The results indicate that foot strike and stride length are coupled, with shorter stride lengths being associated with a F/MFS and longer stride lengths being associated with a RFS pattern. Impact peak magnitude was primarily dependent on foot strike, with a F/MFS pattern reducing the magnitude of the impact peak force regardless of stride length. Peak vertical and horizontal ground reaction forces were found to be primarily dependent on stride length, with longer stride lengths resulting in increased vertical and horizontal ground reaction forces, regardless of foot strike. It is difficult, but possible, to independently manipulate stride length and foot strike. Clinicians should be aware of the coupled changes in stride length and foot strike.",1
35498531_c2,35498531,The Coupling of Stride Length and Foot Strike in Running.,2022,foot_strike,"of foot strike. It is difficult, but possible, to independently manipulate stride length and foot strike. Clinicians should be aware of the coupled changes in stride length and foot strike.",2
35333026_c0,35333026,Foot strike patterns and running-related injuries among high school runners: a retrospective study.,2022,foot_strike,"There is a possible relationship between foot strike patterns and running-related injuries; however, this relationship among high school runners remains uninvestigated. Therefore, this retrospective cohort study examined this relationship among high school runners.",0
40732545_c0,40732545,Foot Strike Pattern Detection Using a Loadsol,2025,foot_strike,Understanding the foot strike pattern (FSP) and impact force of running-related injuries is crucial for athletes and researchers. This study investigated a novel method for detecting FSP using the loadsol,0
41210096_c0,41210096,"Effects of Foot-Strike Patterns During Running on Cumulative Load of Achilles Tendon Force, Plantar Fascia Force, and Patellofemoral Joint Stress.",2025,foot_strike,"Foot-strike patterns, including rearfoot strike (RFS), midfoot strike (MFS), and forefoot strike (FFS), are related to running injuries. Additionally, cumulative load is an important parameter when considering running injuries, but the cumulative loads of Achilles tendon force (ATF), plantar fascia force (PFF), and patellofemoral joint stress (PFJS) across all foot-strike patterns, including MFS, remain unknown. This study examined the effects of different foot-strike patterns during running, including MFS, on the peak values and cumulative load of ATF, PFF, and PFJS. Twenty healthy participants were enrolled in this study. The ATF, PFF, and PFJS during barefoot running with RFS, MFS, and FFS at 10 km/h were analyzed using a three-dimensional motion capture system and force plates. Their peak values and impulse per mile (an indicator of cumulative load) were calculated. These variables were statistically compared across foot strike patterns. The significance level was adjusted using the Bonferroni method for post-hoc tests",0
41210096_c1,41210096,"Effects of Foot-Strike Patterns During Running on Cumulative Load of Achilles Tendon Force, Plantar Fascia Force, and Patellofemoral Joint Stress.",2025,foot_strike,"per mile (an indicator of cumulative load) were calculated. These variables were statistically compared across foot strike patterns. The significance level was adjusted using the Bonferroni method for post-hoc tests (α = 0.016). Additionally, Cohen's d was used to calculate the effect size. The peak values and cumulative loads of the ATF and PFF were highest in FFS, followed by MFS and RFS. Conversely, the peak values and cumulative loads of the PFJS were higher in RFS and MFS than in FFS. Additionally, the effect size of impulse per mile was larger than that for peak values. The load is applied to different regions depending on the foot-strike pattern. ATF and PFF showed intermediate values at midfoot strike, MFS is suggesting that it may reduce the risk of developing or exacerbating Achilles tendinopathy and plantar fasciitis. Moreover, cumulative load may be a more meaningful parameter than peak values for estimating",1
41210096_c2,41210096,"Effects of Foot-Strike Patterns During Running on Cumulative Load of Achilles Tendon Force, Plantar Fascia Force, and Patellofemoral Joint Stress.",2025,foot_strike,"suggesting that it may reduce the risk of developing or exacerbating Achilles tendinopathy and plantar fasciitis. Moreover, cumulative load may be a more meaningful parameter than peak values for estimating load during actual running.",2
23006790_c0,23006790,Foot-strike pattern and performance in a marathon.,2013,foot_strike,"To determine prevalence of heel strike in a midsize city marathon, if there is an association between foot-strike classification and race performance, and if there is an association between foot-strike classification and gender.",0
30335714_c0,30335714,Factors Associated With Self-Selected Step Rate in High School Cross Country Runners.,2021,cadence,"Luedke, LE, Heiderscheit, BC, Williams, DSB, and Rauh, MJ. Factors associated with self-selected step rate in high school cross country runners. J Strength Cond Res 35(4): 1141-1148, 2021-Recommendations for step rate, or cadence, during distance running come from varying perspectives including performance, running economy, and injury risk. Studies of adult runners suggest that running experience and leg length may influence step rate, but limited evidence is available on factors that influence adolescent runner step rates. The purpose was to evaluate relationships between running experience, anthropometric factors, and lower extremity muscle strength with self-selected step rate in adolescent runners. Sixty-eight high school cross country runners (47 young women; age 16.2 ± 1.3 years) reported height, body mass, and running experience. Mean step rate was assessed at 3.3 m·s-1 and self-selected (mean 3.8 ± 0.5 m·s-1) speeds. Leg length and peak isometric strength of the hip abductors, knee extensors, and flexors were",0
30335714_c1,30335714,Factors Associated With Self-Selected Step Rate in High School Cross Country Runners.,2021,cadence,"step rate was assessed at 3.3 m·s-1 and self-selected (mean 3.8 ± 0.5 m·s-1) speeds. Leg length and peak isometric strength of the hip abductors, knee extensors, and flexors were also measured. Step rates at 3.3 m·s-1 {r (95% confidence interval [CI]) = 0.44 [0.22, 0.61], p < 0.001} and self-selected (r [95% CI] = 0.45 [0.20, 0.66], p < 0.001) speeds were correlated with running experience. Step rates at 3.3 m·s-1 and self-selected speeds were inversely associated with body mass (r [95% CI] = -0.32 [-0.52, -0.09], p = 0.007 and r [95% CI] = -0.34 [-0.53, -0.11], p = 0.005, respectively), height (r [95% CI] = -0.40 [-0.58, -0.18], p = 0.01 and r [95% CI] = -0.32 [-0.52, -0.09], p = 0.008, respectively), and leg length (r [95% CI] = -0.48 [-0.64, -0.27], p < 0.001 and r [95% CI] = -0.35 [-0.52, -0.12], p = 0.004,",1
30335714_c2,30335714,Factors Associated With Self-Selected Step Rate in High School Cross Country Runners.,2021,cadence,"[-0.52, -0.09], p = 0.008, respectively), and leg length (r [95% CI] = -0.48 [-0.64, -0.27], p < 0.001 and r [95% CI] = -0.35 [-0.52, -0.12], p = 0.004, respectively). No significant relationships were found between isometric strength values and step rate at either speed (p > 0.05). Adolescent runners with greater running experience displayed higher step rates. Hence, the lower step rates in runners with less experience may factor in the higher injury risk previously reported in novice runners. Runners with shorter leg length displayed higher step rates. Step rate recommendations should consider runner experience and anthropometrics.",2
36780101_c0,36780101,Bone Stress Injuries in Runners Using Carbon Fiber Plate Footwear.,2023,carbon_plate,"The introduction of carbon fiber plate footwear has led to performance benefits in runners. The mechanism for these changes in running economy includes altered biomechanics of the foot and ankle. The association of this footwear with injuries has been a topic of debate clinically, but not described in the literature. In this Current Opinion article, illustrated by a case series of five navicular bone stress injuries in highly competitive running athletes, we discuss the development of running-related injuries in association with the use of carbon fiber plate footwear. While the performance benefits of this footwear are considerable, sports medicine providers should consider injuries possibly related to altered biomechanical demands affecting athletes who use carbon fiber plate footwear. Given the introduction of carbon fiber plate footwear into athletics and other endurance sports, strategies may be required to reduce risk of injury due to altered foot and ankle mechanics. This article is",0
